position de 		Y	X
position, de 2		scribe 1	scribe 2		explorateur
distance 1-2	70	Armades/Playmo	Manu57		Akyruu			méthode des cercles
point :	côté : G/D	Distance à S1	Distance à S2	hauteur	observations			Y		X		z					Adjacent (Y)
point 94	G	9	63	2	Lit x2 (côte à côte) (point central)			0		7		2
point 95	G	14	59	2	Bombones x5 (0,8m de hauteur)			11		12		2
point 96	G	15	56	2	Caisses empilées (1,6m de hauteur)			0		14		2
point 97	G	16	58	2	Caisses empilées (1,6m de hauteur)			11		13		2
point 98	G	21	55		Bombones x5 (0,8m de hauteur)			15		17
point 99	G	64	11		Etagère (avec caisses dessus) (3m sur 2m) (possibilité cachette accroupi)			8		63
point 100	G	50	39		Lot de caisses (1m de hauteur) (possibilité cachette accroupi)			27		42
point 101	G	50	41		Lot de caisses (1m de hauteur) (possibilité cachette accroupi)			29		41
point 102	G	51	45		Caisses empilées (1,6m de hauteur)			33		39
point 103	G	56	45		Lot de caisses (1m de hauteur) (possibilité cachette accroupi)			36		43
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
								#NUM!		35
